id	description	en	local
		New Game	新游戏
		Waiting for server...	正在等待服务器…
		Joined	加入服务器
		There are ### players connected	有 ### 位已连接的玩家
		Player Joined	玩家已加入
		### has joined the game	### 已经加入游戏
		Player Disconnected	玩家已断开连接
		### has left the game	### 已经离开游戏
		SET ROGUE MODE SAVE	设置铁人模式存档
		SERVER SLOWDOWN	服务器速度减慢
		### is slowing the game.	### 正在减慢游戏速度
		Error connecting to server:	连接收到服务器时出错：
		Connecting to server...	正在连接收到服务器...
		Joining game...	正在加入游戏...
		NEW GAME	新游戏
		LOAD GAME	加载游戏
		NEW MULTIPLAYER GAME	新的多人游戏
		LOAD MULTIPLAYER GAME	加载多人游戏
		Invalid password	无效密码
		Incompatible game version	不兼容的游戏版本
		server version	服务器版本
		Server is full	服务器已满
		Server is not open to multiplayer	服务器未开启多人模式
		You are not whitelisted on this server	你不在此服务器白名单中
		You are missing a required DLC	缺失必要DLC
		You are banned from this server	你被禁止进入这台服务器
		no errors detected	未检测到错误
		Variables	变量
		Input 1	输入1
		Input 2	输入2
		Input 3	输入3
		Input 4	输入4
		Input 5	输入5
		Input 6	输入6
		Input 7	输入7
		Input 8	输入8
		Constants	常数
		Operators	运算符
		Addition	加
		Subtraction	减
		Multiply	乘
		Divide	划分
		Modulo (fmod)	模(fmod)
		Power	幂
		Trigonometry (radians)	三角学(弧度制) [Trigonometry (radians)]
		Sine	正弦(sin)
		Cosine	余弦(cos)
		Tangent	切弦(tan)
		Arcsine	反正弦(arcsin)
		Arccosine	反余弦(arccos)
		Arctangent	反正切(arctan)
		Atan2	Atan2
		Max of x and y	x和y的最大值
		Min of x and y	x和y的最小值
		Ceil x	对x向上取整(ceil)
		Floor x	对x向下取整(floor)
		Round x to nearest y	将x舍入到最近的y
		Absolute value of x	x的绝对值
		Sign of x (1 if x=0)	x的符号(如果x=0，则为1)
		Square root of x	x的平方根
		Length of vector(x,y)	"(x,y)矢量长度"
		len(x,y) (no sqrt)	"(x,y)距离(无开方)"
		Linearly interpolate x to y by z	用z线性插值x到y
		Clamp x within y and z	在y和z范围内对x值进行限定(Clamp)
		Conversions	转换
		m/s to kmph	m/s至kmph
		m/s to mph	m/s至mph
		m/s to knots	m/s至节
		Turns to radians	转换为弧度
		Degrees to radians	角度转换为弧度
		Radians to degrees	弧度转换为度
		True	True
		False	False
		And	与(And)
		Or	或(Or)
		Xor	异或(Xor)
		Not	非(Not)
		Click on the 'Logic' button in the top bar to enter logic connecting mode.	点击顶部栏中的“逻辑”按钮进入逻辑连接模式。
		Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes.	选择“数据”逻辑类型以查看“开/关”和“数字”逻辑节点。
		Select the 'Power' logic type to view 'Power' logic nodes.	选择“电源”逻辑类型以查看“电源”逻辑节点。
		Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle.	在突出显示的空间中放置一个斜面。\n\n您可以通过将鼠标悬停在载具中不同的相邻表面上来更改组件的旋转。
		Click on the wedge block in the component list to start building with it.	单击“构件”列表中的斜面以开始构建。
		Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging.	放置下五个楔子。\n\n可以通过拖动一次放置多个楔子。
		You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display	也可以使用下列键旋转和翻转组件。\n\n[j]在x轴上旋转\n[k]在y轴上旋转\n[l]在z轴上旋转\n\n[u]在x轴上翻转\n[i]在y轴上翻转\n[o]在z轴上翻转\n\n[p]切换旋转显示
		Click on the pyramid block in the component list to start building with it.	单击组件列表中的棱锥图块开始构建。
		First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	首先，将座椅前面的按钮连接收到引擎的“开/关”节点。\n\n这将允许您通过按按钮打开引擎。\n\n单击其中一个闪烁的逻辑节点将其选中，然后在悬停在要连接的节点上时将其拖动并释放。
		Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to.	接下来，将'Axis 2 [$[action_up]]/[$[action_down]]'节点从座椅连接收到发动机的“throttle in”节点。\n\n这将允许您通过按[$[action_up]]和[$[action_down]]向发动机应用油门功率。\n\n单击其中一个闪烁的逻辑节点将其选中，然后在悬停在要连接的节点上时将其拖放去吧。
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	接下来，将座椅上的'Axis 1 [$[action_left]]/[$[action_right]]'节点连接收到一个方向舵的“旋转输入”节点。\n\n这将允许您通过按[$[action_left]]或[$[action_right]]来施加一个转向的力。
		Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]].	接下来，将座椅上的'Axis 1 [$[action_left]]/[$[action_right]]'节点连接收到第二个方向舵上的“旋转输入”节点。\n\n这将允许您通过按[$[action_left]]或[$[action_right]]施加一个转向的力。
		Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle.	最后，连接发动机和螺旋桨。\n\n这将把发动机产生的动力传递到螺旋桨上，并允许您使用油门前后移动船。
		Click on the large '+' button to create a new save file.	单击“+”按钮创建一个新的保存文件。
		Type in a name for your boat.\nThen click on the 'Save' button.	键入船名。\n然后单击“保存”按钮。
		Click on the 'Save' button in the top bar to start saving your boat.	单击顶部栏中的“保存”按钮开始保存您的船。
		Press [$[action_missions]] again to close the missions screen.	再次按[$[action_missions]]关闭任务屏幕。
		You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information.	您有一个新任务。\n按[$[action_missions]]打开任务屏幕并获取更多信息。
		Click on the 'Missions' button to see an overview of all currently available missions.	点击“任务”按钮查看所有当前可用任务的概述。
		Click the mission overview to show more detailed information about it.	单击任务概述以显示有关它的详细信息。
		Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game.	单击“切换活动”按钮，使其成为活动任务。\n\n任务将显示在地图和游戏中。
		Press [$[action_interact_right]] when looking at the crate to pick it up.	在面对板条箱时，按[$[action_interact_right]]将其拿起。
		Press [$[action_interact_right]] (hold and release to throw) to place the crate into your boat.	按[$[action_interact_right]](按住并松开以投掷)将板条箱放入您的船中。
		Press [$[action_use_seat]] when looking at your pilot seat to start driving your boat.	当面对驾驶座时按$[action_use_seat]开始驾驶。
		Press [$[action_camera_mode]] to enter third-person view while in a seat.	按[$[action_camera_mode]]进入第三人称视角。
		Press [$[action_camera_mode]] to return to first-person view.	按[$[action_camera_mode]]返回第一人称视图。
		Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location.	使用[$[action_up][$[action_left][$[action_down][$[action_right]]驱动到目标位置。
		Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine.	在查看“引擎打开/关闭”按钮时，按[$[action_interact_right]]以打开引擎。
		Press [$[action_use_seat]] to exit your vehicle.	按[$[action_interact_right]]退出载具。
		Press [$[action_interact_right]] to pick up the crate.	按$[action_interact_right]]来取走板条箱。
		Press [$[action_interact_right]] to place the crate in the drop zone.	按$[action_interact_right]]将板条箱放置在放置区域。
		Click the sleep button to fast-forward time.	按下睡眠按钮来快进时间
		Press [$[action_use_seat]] while looking at your bed to go to sleep.	面对床时按$[action_use_seat]入睡。
		Bed	床
		Return to your home base.	回到你的基地。
		Home	家
		Welcome to Stormworks	欢迎来到Stormworks
		FIX YOUR BOAT	修理你的船
		Your boat was damaged in a recent storm. You will need to use a workbench to fix it.	你的船在最近的风暴中损坏了。你需要使用工作台来修复它。
		Workbench	工作台
		VEHICLE EDITOR	载具编辑器
		This is the vehicle editor, where you can fix your boat.	这是载具编辑器，你可以在这里修理你的船。
		ROTATE THE CAMERA	旋转摄像机
		You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON.	拖动时按住鼠标右键，或按住[shift]和鼠标左键，可以在载具编辑器中旋转摄像头。
		MOVE THE CAMERA	移动摄像机
		You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON.	您可以在按住鼠标中键或[alt]和鼠标左键的同时拖动，在载具编辑器中左右移动摄像头。
		ZOOM THE CAMERA	放大摄像机
		You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys.	您可以使用鼠标滚轮或[-]和[=]键来放大和缩小摄像头。
		RESET THE CAMERA	重置摄像机
		Open the camera settings by pressing the 'Camera' button.	按“摄像机”按钮打开摄像机设置。
		Return the camera to its original position by pressing the 'Reset Camera' button.	按下“重置摄像机”按钮，将摄像机返回其原始位置。
		PLACE BLOCK (1/3)	放置块(1/3)
		Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it.	将块放在突出显示的空间中。\n\n请在相邻组件上使用，以选择将块连接收到的对象。\n\n然后单击以放置它。
		PLACE BLOCK (2/3)	放置块(2/3)
		PLACE BLOCK (3/3)	放置块(3/3)
		PLACE BLOCKS	放置块
		Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging.	放置下三个块。\n\n可以通过拖动一次放置多个块。
		PLACE WEDGE	放置斜面
		PLACE WEDGES	放置楔子
		PLACE PYRAMID	放置楔形
		CONNECT LOGIC (1/5)	连接逻辑(1/5)
		CONNECT LOGIC (2/5)	连接逻辑(2/5)
		CONNECT LOGIC (3/5)	连接逻辑(3/5)
		CONNECT LOGIC (4/5)	连接逻辑(4/5)
		CONNECT LOGIC (5/5)	连接逻辑(5/5)
		SAVE BOAT	保存船
		Save your boat design so that you can come back to it later.	保存您的船的设计，以便您可以之后使用。
		SPAWN BOAT	生成船
		Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin.	您的船已经准备好出发了。\n\n单击“生成”按钮来建造它并出去兜两圈。
		SELECT ACTIVE MISSION	选择当前任务
		COMPLETE MISSION	完成任务
		RETURN TO BASE	返回基地
		Press [f] to focus on hovered mouse position	按[f]聚焦于鼠标悬停位置
		Press [f] to focus on selected object	按[f]聚焦选定对象
		Press [lmb] to place object	按[lmb]放置对象
		Hold [shift] to place multiple	按住[shift]可放置多个
		Press [enter] to cancel	按[enter]取消
		Press [del] to delete object	按[del]删除对象
		Ocean	海洋
		1km x 1km of empty ocean.	1km x 1km的空海。
		Hospital	医院
		Small hospital.	小医院。
		Science	科研
		Small science and research outpost.	小型科学研究基地。
		Police	警察
		Small police station.	小警察局。
		Airport	机场
		Large runway in the shadow of an impenetrable plateau.	高原下的大型跑道。
		Brinkfield	布林克菲尔德
		Nuclear power plant with dock, reactor rooms and underground disposal pool.	带有码头、反应堆室和地下废料池的核电站。
		Fishing Village	渔村
		Small fishing village with mountain, multiple sea stacks and a rocky peninsula.	小渔村，有山，多个海蚀柱和岩石半岛屿。
		Wind Turbine	风力发电机
		Large offshore wind turbine.	大型海上风力涡轮机。
		Small Oil Rig	小型石油钻机
		Medium Oil Rig	中型石油钻机
		Wind Farm	风电场
		Multiple wind turbines atop a gentle hillside.	多个风力涡轮机在一个平缓的山坡上。
		Oil Refinery	炼油厂
		An industrial oil refinery with boat access.	有船通道的工业炼油厂。
		Lighthouse	灯塔
		An unmanned lighthouse surrounded by hazardous rock formations.	被礁石包围的无人灯塔。
		Observatory	天文台
		An astronomical observatory research base.	天文台研究基地。
		Sea Fort	海上堡垒
		An abandoned military sea fort that has been reopened as a tourist hotspot.	作为旅游热点重新开放的废弃军事海堡。
		Mainland Cliff	大陆悬崖
		Small cliff at the corner of the mainland.	大陆一角的小悬崖。
		Mainland Village	大陆村庄
		Small fishing village near a rocky bay.	岩石海湾附近的小渔村。
		Mainland Peninsula	大陆半岛屿
